Campaign,Source / Medium,Ad Content,Unique Pageviews,Bounces,Time on Page,Sessions,Pageviews,Exits,Session Duration
FY2018_Stonecoast,Facebook / PageLink,AG_,3,3,0:00:00,3,3,3,0:00:00
FY2018_Stonecoast,Facebook / PageLink,AG_ALL_GR,3,3,0:00:00,3,3,3,0:00:00
fy2018_transfer,facebook / pagelink,cu_tr,3,3,0:00:00,3,3,3,0:00:00
fy2018_transfer,facebook / pagelink,undergrad_engineering,3,3,0:00:00,3,3,3,0:00:00
FY2018_Umbrella,MaineToday / Display,Nate_V1,3,3,0:00:00,3,3,3,0:00:00
FY2018_Umbrella,N9515.1355588DOUBLECLICK.COMBI25 / Display,Default,3,0,0:00:00,3,7,3,0:00:00
fy2018_undergrad,facebook / pagelink,undergrad_cybersecurity,3,0,0:00:20,3,7,3,0:00:20
fy2018_undergrad,facebook / pagelink,undergrad_leadership,3,3,0:00:00,3,3,3,0:00:00
FY2018_Undergrad,Facebook / PageLink,AG_,3,3,0:00:00,3,3,3,0:00:00
FY2018_Undergrad,Facebook / PageLink,AG_U,3,3,0:00:00,3,3,3,0:00:00
FY2019,Facebook / PageLink,MFA_Stonecoast,3,3,0:00:00,3,3,3,0:00:00
FY2019_GradMuskie,Facebook / PageLink,[AG_ALL_GR]MuskieSchool,3,3,0:00:00,3,3,3,0:00:00
