Ad Name,Day,Campaign Name,Ad Set Name,Reporting Ends,Impressions,Clicks (All),Amount Spent (USD),Video Plays,Video Plays [On Ad],ThruPlays,ThruPlays [On Ad],Link Clicks,Link Clicks [On Ad],Reach,Purchases,Purchases [1 Day After Viewing],Purchases [28 Days After Clicking],Landing Page Views,Landing Page Views [On Ad],Page Engagement,Page Engagement [On Ad],Page Engagement [1 Day After Viewing],Page Engagement [28 Days After Clicking],Reporting Starts
Find Yourself Here,04/27/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],04/27/2018,1606,7,2.79,,,,,7,7,822,,,,4,4,8,8,0,0,04/27/2018
"[AG_HS_UG]	Small Classes",04/27/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/27/2018,2204,5,1.29,,,,,5,5,1309,,,,4,4,5,5,0,0,04/27/2018
"Feel connected - individuals of all different ages, backgrounds, and talents thrive at USM - Copy",04/27/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_IC] FB_ Working Adults - Individual Courses,04/27/2018,528,0,1.71,,,,,,,523,,,,,,,,,,04/27/2018
Find Yourself Here,04/27/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,04/27/2018,5525,17,9.74,,,,,18,18,2163,1,1,0,7,7,18,18,0,0,04/27/2018
[AG_ALL_GR] Public Policy MPPM,04/27/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Public Policy MPPM,04/27/2018,4974,18,12.82,,,,,18,18,1919,,,,15,15,18,18,0,0,04/27/2018
University of Everyone,04/27/2018,USM FY 2017-2018 Page Link,[AG_WA_IC],04/27/2018,615,4,1.23,,,,,4,4,363,,,,1,1,4,4,0,0,04/27/2018
Integrate community-based learning into your education while studying in vibrant Portland,04/27/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,04/27/2018,459,0,3.9,,,,,,,447,,,,,,,,,,04/27/2018
Year-round course offerings - and you don't have to be in a USM degree program to register,04/27/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_IC] FB_ Working Adults - Individual Courses,04/27/2018,356,0,1.1,,,,,,,355,,,,,,,,,,04/27/2018
University of Everyone_LEARN_MORE_,04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,04/26/2018,952,14,10.85,,,,,14,14,370,,,,7,7,14,14,0,0,04/26/2018
University of Everyone_LEARN_MORE_,04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/26/2018,1825,9,5.8,,,,,8,8,903,,,,2,2,9,9,0,0,04/26/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],04/26/2018,834,2,7.63,,,,,,,802,,,,,,1,1,0,0,04/26/2018
"Academic credit may be available to you through prior courses, military or work experience",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,04/26/2018,894,0,3.52,,,,,,,888,,,,,,,,,,04/26/2018
"Many graduate programs are offered online - pursue your degree at any time, from anywhere",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,04/26/2018,626,1,2.64,,,,,,,622,,,,,,,,,,04/26/2018
Find Yourself Here - Copy,04/26/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,04/26/2018,9461,23,15.66,,,,,25,25,3613,1,0,1,11,11,25,25,0,0,04/26/2018
"[AG_HS_UG]	Small Classes",04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/26/2018,1519,2,1.17,,,,,2,2,1052,,,,,,2,2,0,0,04/26/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],04/26/2018,554,3,5.09,,,,,,,541,,,,,,,,,,04/26/2018
[AG_ALL_GR] Leadership_Grad,04/26/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Leadership_Grad,04/26/2018,8154,25,12.64,,,,,25,25,3480,,,,11,11,25,25,0,0,04/26/2018
University of Everyone_LEARN_MORE_,04/26/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,04/26/2018,2333,10,3.62,,,,,10,10,932,,,,5,5,10,10,0,0,04/26/2018
Online programs to meet the demands of real life - finish quickly and start earning more,04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,04/26/2018,967,1,4,,,,,,,961,,,,,,,,,,04/26/2018
University of Everyone_Apply Now_,04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/26/2018,1556,4,2.97,,,,,4,4,767,,,,1,1,4,4,0,0,04/26/2018
[AG_ALL_UG] Leadership_Undergrad,04/26/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Leadership_Undergrad,04/26/2018,3576,24,11.28,,,,,21,21,1861,,,,22,22,21,21,0,0,04/26/2018
Find Yourself Here - Copy,04/26/2018,USM FY 2017-2018 Page Link,[AG_WA_IC],04/26/2018,804,2,1.55,,,,,2,2,488,,,,1,1,2,2,0,0,04/26/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,04/26/2018,845,1,6.9,,,,,,,811,,,,,,,,,,04/26/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,04/26/2018,507,4,4.43,,,,,,,487,,,,,,4,4,0,0,04/26/2018
"""I want to help make a difference, that's why I chose USM.""",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,04/26/2018,1106,2,9.16,,,,,,,1053,,,,,,1,1,0,0,04/26/2018
[AG_CU_UG] Engineering_Transfer,04/26/2018,USM FY 2017-2018 Page Link,[AG_CU_UG] Engineering_Transfer,04/26/2018,6862,16,12.52,,,,,16,16,2496,,,,11,11,16,16,0,0,04/26/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],04/26/2018,601,4,5.42,,,,,,,584,,,,,,2,2,0,0,04/26/2018
[AG_ALL_UG] Engineering_Undergrad,04/26/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Engineering_Undergrad,04/26/2018,5478,28,11.29,,,,,27,27,1958,,,,16,16,28,28,0,0,04/26/2018
Find Yourself Here,04/26/2018,USM FY 2017-2018 Page Link,[AG_WA_IC],04/26/2018,260,0,0.29,,,,,,,173,,,,,,,,,,04/26/2018
"Feel connected - individuals of all different ages, backgrounds, and talents thrive at USM",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_IC] FB_ Working Adults - Individual Courses,04/26/2018,467,0,1.37,,,,,,,464,,,,,,,,,,04/26/2018
University of Everyone_LEARN_MORE_,04/26/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,04/26/2018,2032,9,3.19,,,,,9,9,828,,,,6,6,9,9,0,0,04/26/2018
Online programs to meet the demands of real life - finish quickly and start earning more,04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,04/26/2018,843,0,3.79,,,,,,,838,,,,,,,,,,04/26/2018
[AG_ALL_GR] Public Health,04/26/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Public Health,04/26/2018,5353,15,12.33,,,,,15,15,2034,,,,6,6,15,15,0,0,04/26/2018
Integrate community-based learning into your education while studying in vibrant Portland,04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],04/26/2018,929,3,8.66,,,,,,,898,,,,,,2,2,0,0,04/26/2018
Find Yourself Here_LEARN_MORE_,04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/26/2018,539,3,4,,,,,2,2,348,,,,,,2,2,0,0,04/26/2018
Find Yourself Here_LEARN_MORE_,04/26/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,04/26/2018,2694,13,7.89,,,,,13,13,1156,,,,3,3,13,13,0,0,04/26/2018
Find Yourself Here,04/26/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],04/26/2018,2390,16,2.82,,,,,18,18,1091,,,,10,10,18,18,0,0,04/26/2018
"Many graduate programs are offered online - pursue your degree at any time, from anywhere",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,04/26/2018,858,1,2.97,,,,,,,841,,,,,,1,1,0,0,04/26/2018
Find Yourself Here_LEARN_MORE_,04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,04/26/2018,536,8,6.26,,,,,7,7,253,,,,3,3,7,7,0,0,04/26/2018
"""I want to help make a difference, that's why I chose USM.""",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],04/26/2018,617,6,5.61,,,,,,,594,,,,,,2,2,0,0,04/26/2018
[AG_ALL_UG] Cyber Security,04/26/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Cyber Security,04/26/2018,3442,20,12.1,,,,,20,20,1744,,,,25,25,20,20,0,0,04/26/2018
University of Everyone,04/26/2018,USM FY 2017-2018 Page Link,[AG_WA_IC],04/26/2018,551,1,1.06,,,,,1,1,347,,,,,,1,1,0,0,04/26/2018
Find Yourself Here,04/26/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],04/26/2018,2333,2,3.03,,,,,2,2,1098,,,,1,1,2,2,0,0,04/26/2018
University of Everyone,04/26/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],04/26/2018,6292,32,11.84,,,,,32,32,2830,,,,19,19,32,32,0,0,04/26/2018
[AG_HS_UG]StillTime,04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/26/2018,382,1,0,,,,,,,297,,,,,,1,1,0,0,04/26/2018
[AG_ALL_UG] Cyber Security,04/26/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Cyber Security,04/26/2018,4562,17,2.15,,,,,17,17,2265,,,,9,9,17,17,0,0,04/26/2018
[AG_HS_UG]Schedule A Tour,04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/26/2018,814,2,2.4,,,,,2,2,519,,,,2,2,2,2,0,0,04/26/2018
University of Everyone_LEARN_MORE_,04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,04/26/2018,939,14,9.2,,,,,15,15,388,,,,5,5,15,15,0,0,04/26/2018
[AG_ALL_GR] Nursing_Grad,04/26/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR]Nursing_Grad,04/26/2018,6673,18,12.15,,,,,19,19,2639,,,,5,5,19,19,0,0,04/26/2018
University of Everyone_Apply Now_,04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,04/26/2018,298,5,3.13,,,,,3,3,151,,,,3,3,3,3,0,0,04/26/2018
University of Everyone_Apply Now_,04/26/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,04/26/2018,4942,22,6.15,,,,,23,23,1852,,,,10,10,23,23,0,0,04/26/2018
Year-round course offerings - and you don't have to be in a USM degree program to register,04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_IC] FB_ Working Adults - Individual Courses,04/26/2018,261,0,0.83,,,,,,,259,,,,,,,,,,04/26/2018
"Offering diverse master's and doctoral degree programs, and advanced certificates",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,04/26/2018,558,0,2.03,,,,,,,556,,,,,,,,,,04/26/2018
[AG_ALL_GR] Public Policy MPPM,04/26/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Public Policy MPPM,04/26/2018,5237,13,12.38,,,,,12,12,2092,,,,8,8,12,12,0,0,04/26/2018
Integrate community-based learning into your education while studying in vibrant Portland,04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,04/26/2018,538,2,4.58,,,,,,,523,,,,,,2,2,0,0,04/26/2018
Find Yourself Here (1),04/26/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],04/26/2018,3388,17,3.95,,,,,16,16,1624,,,,6,6,17,17,0,0,04/26/2018
Find Yourself Here,04/26/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,04/26/2018,8099,25,14.09,,,,,25,25,2859,,,,14,14,25,25,0,0,04/26/2018
[AG_CU_UG] Leadership_Transfer,04/26/2018,USM FY 2017-2018 Page Link,[AG_CU_UG] Leadership_Transfer,04/26/2018,7903,16,12.2,,,,,16,16,2996,,,,8,8,16,16,0,0,04/26/2018
"Feel connected - individuals of all different ages, backgrounds, and talents thrive at USM - Copy",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_IC] FB_ Working Adults - Individual Courses,04/26/2018,369,0,1.15,,,,,,,364,,,,,,,,,,04/26/2018
University of Everyone_LEARN_MORE_,04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/26/2018,768,5,8.32,,,,,3,3,483,,,,1,1,3,3,0,0,04/26/2018
[AG_HS_UG] StillTime47,04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/26/2018,1334,3,2.07,,,,,3,3,707,,,,1,1,3,3,0,0,04/26/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,04/26/2018,412,3,3.62,,,,,,,406,,,,,,2,2,0,0,04/26/2018
Have you thought about finishing your degree? USM can help you reach your goals.,04/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,04/26/2018,1980,4,8.59,,,,,,,1960,,,,,,,,,,04/26/2018
[AG_HS_UG]47 Majors,04/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/26/2018,680,0,0,,,,,,,516,,,,,,,,,,04/26/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],04/25/2018,490,5,4.34,,,,,,,480,,,,,,5,5,0,0,04/25/2018
[AG_ALL_GR] Public Policy MPPM,04/25/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Public Policy MPPM,04/25/2018,4476,16,12.21,,,,,16,16,1779,2,2,0,10,10,16,16,0,0,04/25/2018
Find Yourself Here,04/25/2018,USM FY 2017-2018 Page Link,[AG_WA_IC],04/25/2018,388,1,0.45,,,,,1,1,209,,,,,,1,1,0,0,04/25/2018
[AG_HS_UG]Schedule A Tour,04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/25/2018,720,4,10.58,,,,,3,3,492,,,,1,1,3,3,0,0,04/25/2018
"[AG_HS_UG]	Small Classes",04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/25/2018,1460,7,11.83,,,,,8,8,1016,,,,2,2,8,8,0,0,04/25/2018
University of Everyone_Apply Now_,04/25/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,04/25/2018,4162,25,4.98,,,,,25,25,1662,,,,6,6,25,25,0,0,04/25/2018
Integrate community-based learning into your education while studying in vibrant Portland,04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,04/25/2018,530,2,4.74,,,,,,,515,,,,,,1,1,0,0,04/25/2018
Find Yourself Here,04/25/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],04/25/2018,3146,6,4.45,,,,,6,6,1474,,,,4,4,6,6,0,0,04/25/2018
Find Yourself Here - Copy,04/25/2018,USM FY 2017-2018 Page Link,[AG_WA_IC],04/25/2018,1075,5,1.87,,,,,5,5,577,,,,1,1,5,5,0,0,04/25/2018
University of Everyone_LEARN_MORE_,04/25/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,04/25/2018,2846,7,5.06,,,,,7,7,1102,,,,3,3,7,7,0,0,04/25/2018
[AG_ALL_UG] Cyber Security,04/25/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Cyber Security,04/25/2018,3204,21,10.82,,,,,21,21,1681,,,,12,12,21,21,0,0,04/25/2018
University of Everyone,04/25/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],04/25/2018,4738,24,11.33,,,,,24,24,2227,,,,15,15,24,24,0,0,04/25/2018
Year-round course offerings - and you don't have to be in a USM degree program to register,04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_IC] FB_ Working Adults - Individual Courses,04/25/2018,473,0,1.3,,,,,,,469,,,,,,,,,,04/25/2018
Integrate community-based learning into your education while studying in vibrant Portland,04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],04/25/2018,1031,6,9.34,,,,,,,991,,,,,,2,2,0,0,04/25/2018
University of Everyone_Apply Now_,04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,04/25/2018,432,5,4.95,,,,,5,5,242,,,,1,1,5,5,0,0,04/25/2018
Find Yourself Here_LEARN_MORE_,04/25/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,04/25/2018,2682,13,8.33,,,,,13,13,1214,,,,4,4,13,13,0,0,04/25/2018
[AG_ALL_GR] Leadership_Grad,04/25/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Leadership_Grad,04/25/2018,5825,33,11.92,,,,,32,32,2711,2,2,0,19,19,33,33,0,0,04/25/2018
"Many graduate programs are offered online - pursue your degree at any time, from anywhere",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,04/25/2018,1050,1,3.65,,,,,,,1032,,,,,,,,,,04/25/2018
University of Everyone_LEARN_MORE_,04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/25/2018,2209,4,2.54,,,,,2,2,898,,,,1,1,2,2,0,0,04/25/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],04/25/2018,1032,4,9.41,,,,,,,979,,,,,,2,2,0,0,04/25/2018
University of Everyone_LEARN_MORE_,04/25/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,04/25/2018,2001,11,2.7,,,,,11,11,915,,,,3,3,11,11,0,0,04/25/2018
University of Everyone_LEARN_MORE_,04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/25/2018,743,3,4.69,,,,,4,4,450,,,,1,1,4,4,0,0,04/25/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,04/25/2018,585,2,5.31,,,,,,,572,,,,,,2,2,0,0,04/25/2018
Find Yourself Here - Copy,04/25/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,04/25/2018,6115,21,10.89,,,,,21,21,2641,,,,13,13,21,21,0,0,04/25/2018
[AG_ALL_UG] Leadership_Undergrad,04/25/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Leadership_Undergrad,04/25/2018,3629,22,11.68,,,,,22,22,1891,,,,19,19,22,22,0,0,04/25/2018
Find Yourself Here,04/25/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],04/25/2018,1667,8,3,,,,,8,8,796,,,,3,3,8,8,0,0,04/25/2018
"Academic credit may be available to you through prior courses, military or work experience",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,04/25/2018,718,0,3,,,,,,,705,,,,,,,,,,04/25/2018
[AG_HS_UG] StillTime47,04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/25/2018,1695,5,5.82,,,,,5,5,937,,,,1,1,5,5,0,0,04/25/2018
[AG_ALL_UG] Cyber Security,04/25/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Cyber Security,04/25/2018,5767,26,2.95,,,,,27,27,2892,1,0,1,8,8,27,27,0,0,04/25/2018
"Offering diverse master's and doctoral degree programs, and advanced certificates",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,04/25/2018,307,0,1.16,,,,,,,304,,,,,,,,,,04/25/2018
"""I want to help make a difference, that's why I chose USM.""",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],04/25/2018,523,0,4.57,,,,,,,503,,,,,,,,,,04/25/2018
[AG_CU_UG] Engineering_Transfer,04/25/2018,USM FY 2017-2018 Page Link,[AG_CU_UG] Engineering_Transfer,04/25/2018,6049,19,12.06,,,,,20,20,2098,,,,9,9,20,20,0,0,04/25/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,04/25/2018,606,1,5.24,,,,,,,588,,,,,,1,1,0,0,04/25/2018
University of Everyone_LEARN_MORE_,04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,04/25/2018,1103,15,11.49,,,,,17,17,461,,,,8,8,17,17,0,0,04/25/2018
[AG_HS_UG]StillTime,04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/25/2018,504,2,3.83,,,,,2,2,315,,,,1,1,2,2,0,0,04/25/2018
[AG_HS_UG]47 Majors,04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/25/2018,671,1,0.29,,,,,1,1,476,,,,,,1,1,0,0,04/25/2018
[AG_ALL_GR] Nursing_Grad,04/25/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR]Nursing_Grad,04/25/2018,5346,23,11.94,,,,,24,24,2418,1,1,0,14,14,24,24,0,0,04/25/2018
Online programs to meet the demands of real life - finish quickly and start earning more,04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,04/25/2018,1120,0,4.48,,,,,,,1100,,,,,,,,,,04/25/2018
Find Yourself Here,04/25/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,04/25/2018,7582,27,18.67,,,,,27,27,2824,,,,11,11,27,27,0,0,04/25/2018
Have you thought about finishing your degree? USM can help you reach your goals.,04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,04/25/2018,1225,1,5.4,,,,,,,1216,,,,,,,,,,04/25/2018
"Feel connected - individuals of all different ages, backgrounds, and talents thrive at USM - Copy",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_IC] FB_ Working Adults - Individual Courses,04/25/2018,207,1,0.65,,,,,,,206,,,,,,,,,,04/25/2018
Find Yourself Here_LEARN_MORE_,04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/25/2018,335,3,2.66,,,,,2,2,215,,,,1,1,2,2,0,0,04/25/2018
[AG_ALL_UG] Engineering_Undergrad,04/25/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Engineering_Undergrad,04/25/2018,5678,28,11.88,,,,,28,28,2119,,,,11,11,28,28,0,0,04/25/2018
"Many graduate programs are offered online - pursue your degree at any time, from anywhere",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,04/25/2018,817,0,3.04,,,,,,,802,,,,,,,,,,04/25/2018
"""I want to help make a difference, that's why I chose USM.""",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,04/25/2018,939,3,7.88,,,,,,,899,,,,,,3,3,0,0,04/25/2018
University of Everyone_Apply Now_,04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/25/2018,1985,2,3.19,,,,,2,2,1030,,,,,,2,2,0,0,04/25/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,04/25/2018,863,1,7.38,,,,,,,828,,,,,,1,1,0,0,04/25/2018
Find Yourself Here_LEARN_MORE_,04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,04/25/2018,458,6,5.76,,,,,6,6,221,,,,3,3,6,6,0,0,04/25/2018
"Feel connected - individuals of all different ages, backgrounds, and talents thrive at USM",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_IC] FB_ Working Adults - Individual Courses,04/25/2018,313,0,0.98,,,,,,,311,,,,,,,,,,04/25/2018
[AG_ALL_GR] Public Health,04/25/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Public Health,04/25/2018,4731,26,11.68,,,,,27,27,1865,,,,13,13,27,27,0,0,04/25/2018
[AG_CU_UG] Leadership_Transfer,04/25/2018,USM FY 2017-2018 Page Link,[AG_CU_UG] Leadership_Transfer,04/25/2018,6648,15,12.38,,,,,15,15,2620,,,,9,9,15,15,0,0,04/25/2018
Find Yourself Here (1),04/25/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],04/25/2018,2632,11,3.61,,,,,12,12,1180,,,,6,6,12,12,0,0,04/25/2018
Online programs to meet the demands of real life - finish quickly and start earning more,04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,04/25/2018,1343,0,5.38,,,,,,,1318,,,,,,,,,,04/25/2018
University of Everyone,04/25/2018,USM FY 2017-2018 Page Link,[AG_WA_IC],04/25/2018,394,2,1.29,,,,,2,2,244,,,,1,1,2,2,0,0,04/25/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",04/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],04/25/2018,628,1,5.45,,,,,,,604,,,,,,1,1,0,0,04/25/2018
University of Everyone_LEARN_MORE_,04/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,04/25/2018,1014,13,11.16,,,,,14,14,413,,,,4,4,15,15,0,0,04/25/2018
Find Yourself Here_LEARN_MORE_,04/24/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,04/24/2018,438,2,4.27,,,,,2,2,213,,,,2,2,2,2,0,0,04/24/2018
[AG_ALL_UG] Engineering_Undergrad,04/24/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Engineering_Undergrad,04/24/2018,6684,25,11.87,,,,,25,25,2397,,,,12,12,25,25,0,0,04/24/2018
Year-round course offerings - and you don't have to be in a USM degree program to register,04/24/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_IC] FB_ Working Adults - Individual Courses,04/24/2018,586,0,1.5,,,,,,,584,,,,,,,,,,04/24/2018
Find Yourself Here,04/24/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,04/24/2018,7105,24,13.57,,,,,24,24,2473,1,1,0,15,15,24,24,0,0,04/24/2018
University of Everyone_LEARN_MORE_,04/24/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],04/24/2018,899,2,4.1,,,,,2,2,700,,,,1,1,2,2,0,0,04/24/2018
Integrate community-based learning into your education while studying in vibrant Portland,04/24/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],04/24/2018,812,2,6.86,,,,,,,780,,,,,,1,1,0,0,04/24/2018
University of Everyone,04/24/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],04/24/2018,3918,22,10.26,,,,,21,21,1846,,,,15,15,22,22,0,0,04/24/2018
"Feel connected - individuals of all different ages, backgrounds, and talents thrive at USM",04/24/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_IC] FB_ Working Adults - Individual Courses,04/24/2018,298,0,0.9,,,,,,,297,,,,,,,,,,04/24/2018
"Academic credit may be available to you through prior courses, military or work experience",04/24/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,04/24/2018,1028,2,3.73,,,,,,,1019,,,,,,1,1,0,0,04/24/2018
