Day,Campaign,Campaign type,Ad,Impressions,Clicks,Cost,Views,Video played to 100%,Gmail clicks to website
04/23/2018,FY2018_YouTube,Video,Lauren_30s,181,0,5.81,57,30.94%,0
02/24/2018,FY2018_YouTube,Video,Nate_30s,142,0,9.4,55,38.30%,0
03/01/2018,FY2018_YouTube,Video,Lauren_15s,"1,277",0,36.09,308,24.39%,0
03/10/2018,FY2018_YouTube,Video,Nate_30s,206,0,4.32,56,27.67%,0
04/01/2018,FY2018_YouTube,Video,Nate_30s,146,0,2.71,33,21.92%,0
04/09/2018,FY2018_YouTube,Video,Lauren_15s,"1,382",0,41.25,331,24.02%,0
04/18/2018,FY2018_YouTube,Video,Veronica_30s,44,0,1.18,15,34.09%,0
04/22/2018,FY2018_YouTube,Video,Nate_30s,153,1,5.05,43,27.45%,0
04/25/2018,FY2018_YouTube,Video,Lauren_15s,"1,415",1,38.15,293,21.06%,0
04/26/2018,FY2018_YouTube,Video,Nate_30s,125,0,2.9,34,27.42%,0
05/09/2018,FY2018_YouTube,Video,Lauren_30s,151,0,4.64,36,23.18%,0
05/10/2018,FY2018_YouTube,Video,Lauren_30s,147,0,6.89,32,21.09%,0
06/13/2018,FY2018_YouTube,Video,Lauren_30s,136,0,4.7,41,30.15%,0
06/24/2018,FY2018_YouTube,Video,Lauren_30s,116,0,6.7,35,30.17%,0
01/05/2018,FY2018_YouTube,Video,Lauren_30s,131,0,4.06,23,16.79%,0
01/15/2018,FY2018_YouTube,Video,Lauren_30s,161,0,3.4,46,28.57%,0
01/27/2018,FY2018_YouTube,Video,Lauren_30s,104,0,4.45,31,30.10%,0
01/17/2018,FY2018_YouTube,Video,Lauren_30s,140,0,4.74,47,33.57%,0
05/13/2018,FY2018_YouTube,Video,Lauren_30s,154,0,3.52,43,27.39%,0
05/23/2018,FY2018_YouTube,Video,Lauren_30s,143,0,6.58,38,26.57%,0
06/11/2018,FY2018_YouTube,Video,Lauren_30s,159,0,6.6,46,28.93%,0
06/17/2018,FY2018_YouTube,Video,Lauren_30s,166,0,9.39,33,19.16%,0
03/02/2018,FY2018_YouTube,Video,Lauren_30s,139,0,4.17,46,32.61%,0
04/02/2018,FY2018_YouTube,Video,Lauren_30s,140,0,6.72,32,22.14%,0
05/25/2018,FY2018_YouTube,Video,Lauren_15s,"1,138",0,43.36,306,27.18%,0
06/01/2018,FY2018_YouTube,Video,Veronica_30s,54,0,0.7,13,24.07%,0
06/15/2018,FY2018_YouTube,Video,Veronica_30s,41,0,1.43,8,17.07%,0
06/16/2018,FY2018_YouTube,Video,Lauren_15s,"1,262",1,41.05,264,21.16%,0
06/24/2018,FY2018_YouTube,Video,Nate_30s,110,0,2.77,31,29.09%,0
05/02/2018,FY2018_YouTube,Video,Nate_30s,208,0,8.72,38,18.45%,0
05/02/2018,FY2018_YouTube,Video,Veronica_30s,70,0,0.33,8,11.43%,0
05/05/2018,FY2018_YouTube,Video,Veronica_30s,53,0,0.83,4,1.85%,0
05/06/2018,FY2018_YouTube,Video,Lauren_15s,"1,419",0,37.95,293,20.77%,0
05/31/2018,FY2018_YouTube,Video,Lauren_15s,"1,376",0,43.58,341,24.78%,0
06/11/2018,FY2018_YouTube,Video,Nate_30s,120,0,4.69,43,38.33%,0
05/05/2018,FY2018_YouTube,Video,Lauren_15s,"1,838",0,36.76,396,21.61%,0
05/06/2018,FY2018_YouTube,Video,Nate_30s,208,0,6.73,48,23.08%,0
05/27/2018,FY2018_YouTube,Video,Veronica_30s,49,1,2.29,13,24.00%,0
06/08/2018,FY2018_YouTube,Video,Nate_30s,172,0,4.65,47,28.07%,0
06/13/2018,FY2018_YouTube,Video,Nate_30s,113,0,6.15,38,33.63%,0
06/13/2018,FY2018_YouTube,Video,Lauren_15s,"1,243",0,42.44,322,26.21%,0
05/25/2018,FY2018_YouTube,Video,Nate_30s,103,0,5.19,41,39.81%,0
06/05/2018,FY2018_YouTube,Video,Lauren_15s,"1,375",1,47.95,365,26.56%,0
06/09/2018,FY2018_YouTube,Video,Veronica_30s,46,0,0.38,7,15.22%,0
01/06/2018,FY2018_YouTube,Video,Lauren_15s,"1,228",0,39.62,224,18.32%,0
01/16/2018,FY2018_YouTube,Video,Veronica_30s,43,0,1.47,6,12.50%,0
01/25/2018,FY2018_YouTube,Video,Lauren_15s,"1,391",0,40.44,302,22.01%,0
01/27/2018,FY2018_YouTube,Video,Nate_30s,189,0,7.3,56,29.63%,0
01/07/2018,FY2018_YouTube,Video,Lauren_30s,125,0,3.35,26,20.00%,0
01/16/2018,FY2018_YouTube,Video,Lauren_30s,198,0,3.62,69,35.20%,0
01/24/2018,FY2018_YouTube,Video,Lauren_30s,124,0,1.59,23,18.40%,0
05/01/2018,FY2018_YouTube,Video,Lauren_30s,282,0,6.27,50,18.09%,0
05/15/2018,FY2018_YouTube,Video,Lauren_30s,155,0,4.9,39,25.16%,0
01/02/2018,FY2018_YouTube,Video,Lauren_30s,115,0,2,24,20.87%,0
01/30/2018,FY2018_YouTube,Video,Lauren_30s,81,0,2.68,29,36.14%,0
01/30/2018,FY2018_YouTube,Video,Nate_30s,134,0,3.89,43,31.34%,0
02/01/2018,FY2018_YouTube,Video,Lauren_15s,"1,496",1,40.82,364,24.25%,0
02/07/2018,FY2018_YouTube,Video,Lauren_15s,"1,237",1,38.57,312,25.00%,0
02/20/2018,FY2018_YouTube,Video,Lauren_15s,"1,455",1,34.3,322,22.12%,0
02/21/2018,FY2018_YouTube,Video,Nate_30s,186,0,5.34,54,29.03%,0
03/01/2018,FY2018_YouTube,Video,Nate_30s,177,0,5.24,57,31.82%,0
03/13/2018,FY2018_YouTube,Video,Lauren_15s,"1,555",0,41.97,347,22.36%,0
03/18/2018,FY2018_YouTube,Video,Lauren_15s,"1,083",0,39.34,258,23.75%,0
04/06/2018,FY2018_YouTube,Video,Veronica_30s,74,0,1.35,11,14.86%,0
04/07/2018,FY2018_YouTube,Video,Veronica_30s,49,0,3.07,8,16.33%,0
04/10/2018,FY2018_YouTube,Video,Veronica_30s,49,0,1.72,12,24.00%,0
04/18/2018,FY2018_YouTube,Video,Lauren_15s,"1,333",0,38.27,306,23.11%,0
