Date,Campaign,Ad,Site (DCM),Placement,Ad Type,Creative,Click-through URL,Clicks,Impressions,Click Rate
10/14/2017,USM_FY18,300x250_DBM_Nate,doubleclick.com/bidmanager,USMFY18_DBM_300x250,Standard,Nate_300x250,(not set),8,8903,0.09
12/12/2017,USM_FY18,300x250_DBM_Lauren,doubleclick.com/bidmanager,USMFY18_DBM_300x250,Standard,Lauren_300x250,(not set),8,8997,0.09
10/05/2017,USM_FY18,300x250_DBM_Nate,doubleclick.com/bidmanager,USMFY18_DBM_300x250,Standard,Nate_300x250,(not set),8,9284,0.09
10/31/2017,USM_FY18,320x50_DBM_Veronica,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Veronica_320x50_static,(not set),9,9685,0.09
12/11/2017,USM_FY18,300x250_DBM_Lauren,doubleclick.com/bidmanager,USMFY18_DBM_300x250,Standard,Lauren_300x250,(not set),9,9958,0.09
05/13/2017,FY2017_Umbrella,728x90_DBM,doubleclick.com/bidmanager,DBM_728x90,Standard,DBM_USM_UofE_Refresh_728x90,(not set),9,10259,0.09
11/24/2017,USM_FY18,640x640_Spotify_Tracker_Nate,Spotify,USMFY18_Spotify_640x640_Tracking,Tracking,640x640_Spotify_Tracker_Nate,http://usm.maine.edu/welcome,10,10700,0.09
09/23/2017,USM_FY18,320x50_DBM_Veronica,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Veronica_320x50_static,(not set),10,10976,0.09
03/27/2018,USM_FY18,USMFY18_Summer_DBM_300x250,doubleclick.com/bidmanager,USMFY18_Summer_DBM_300x250,Standard,USM-FY18_SummerSession_300x250,(not set),10,11094,0.09
01/27/2018,USM_FY18,320x50_DBM_Veronica,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Veronica_320x50_static,(not set),11,11855,0.09
12/12/2017,USM_FY18,320x50_DBM_Veronica,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Veronica_320x50_static,(not set),11,12190,0.09
04/11/2017,FY2017_Umbrella,320x50_DBM,doubleclick.com/bidmanager,DBM_320x50,Standard,DBM_USM_UofE_Refresh_320x50,(not set),11,12614,0.09
03/22/2017,FY2017_Umbrella,320x50_DBM,doubleclick.com/bidmanager,DBM_320x50,Standard,DBM_USM_UofE_Refresh_320x50,(not set),11,12648,0.09
11/23/2017,USM_FY18,640x640_Spotify_Tracker_Nate,Spotify,USMFY18_Spotify_640x640_Tracking,Tracking,640x640_Spotify_Tracker_Nate,http://usm.maine.edu/welcome,12,12674,0.09
03/31/2018,USM_FY18,USMFY18_Summer_DBM_300x250,doubleclick.com/bidmanager,USMFY18_Summer_DBM_300x250,Standard,USM-FY18_SummerSession_300x250,(not set),12,14024,0.09
10/20/2017,USM_FY18,640x640_Spotify_Tracker_Nate,Spotify,USMFY18_Spotify_640x640_Tracking,Tracking,640x640_Spotify_Tracker_Nate,http://usm.maine.edu/welcome,14,14813,0.09
06/03/2017,FY2017_Umbrella,300x250 Default Web Ad,doubleclick.com/bidmanager,DBM_300x250,Default,Multiview_USM_REFRESH_300x250,(not set),14,15433,0.09
10/12/2017,USM_FY18,640x640_Spotify_Tracker_Nate,Spotify,USMFY18_Spotify_640x640_Tracking,Tracking,640x640_Spotify_Tracker_Nate,http://usm.maine.edu/welcome,14,15580,0.09
10/08/2017,USM_FY18,640x640_Spotify_Tracker_Nate,Spotify,USMFY18_Spotify_640x640_Tracking,Tracking,640x640_Spotify_Tracker_Nate,http://usm.maine.edu/welcome,14,15696,0.09
10/05/2017,USM_FY18,640x640_Spotify_Tracker_Nate,Spotify,USMFY18_Spotify_640x640_Tracking,Tracking,640x640_Spotify_Tracker_Nate,http://usm.maine.edu/welcome,14,15865,0.09
10/17/2017,USM_FY18,320x50_DBM_Veronica,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Veronica_320x50_static,(not set),14,16059,0.09
10/22/2017,USM_FY18,640x640_Spotify_Tracker_Nate,Spotify,USMFY18_Spotify_640x640_Tracking,Tracking,640x640_Spotify_Tracker_Nate,http://usm.maine.edu/welcome,14,16261,0.09
11/12/2017,USM_FY18,320x50_DBM_Veronica,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Veronica_320x50_static,(not set),16,17661,0.09
10/21/2017,USM_FY18,320x50_DBM_Veronica,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Veronica_320x50_static,(not set),17,19395,0.09
05/20/2017,FY2017_Umbrella,300x250_DBM,doubleclick.com/bidmanager,DBM_300x250,Standard,DBM_USM_UofE_Refresh_300x250,(not set),17,19490,0.09
04/16/2017,FY2017_Umbrella,320x50_DBM,doubleclick.com/bidmanager,DBM_320x50,Standard,DBM_USM_UofE_Refresh_320x50,(not set),18,20810,0.09
12/25/2017,USM_FY18,320x50_DBM_Veronica,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Veronica_320x50_static,(not set),20,21204,0.09
04/18/2017,FY2017_Umbrella,160x600_DBM,doubleclick.com/bidmanager,DBM_160x600,Standard,DBM_USM_UofE_Refresh_160x600,(not set),19,21630,0.09
03/29/2017,FY2017_Umbrella,160x600_DBM,doubleclick.com/bidmanager,DBM_160x600,Standard,DBM_USM_UofE_Refresh_160x600,(not set),22,23463,0.09
05/03/2017,FY2017_Umbrella,728x90_DBM,doubleclick.com/bidmanager,DBM_728x90,Standard,DBM_USM_UofE_Refresh_728x90,(not set),28,29599,0.09
04/26/2018,USM_Spring_FY18,160x600 Default Web Ad,doubleclick.com/bidmanager,DBM_SpringTravel_160x600,Default,USM-FY18_SpringTravel_160x600,(not set),26,29850,0.09
05/09/2017,FY2017_Umbrella,300x250_DBM,doubleclick.com/bidmanager,DBM_300x250,Standard,DBM_USM_UofE_Refresh_300x250,(not set),59,63663,0.09
04/16/2017,FY2017_Umbrella,300x250_DBM,doubleclick.com/bidmanager,DBM_300x250,Standard,DBM_USM_UofE_Refresh_300x250,(not set),68,74036,0.09
04/20/2017,FY2017_Umbrella,300x250_DBM,doubleclick.com/bidmanager,DBM_300x250,Standard,DBM_USM_UofE_Refresh_300x250,(not set),68,74672,0.09
05/22/2018,USM_FY18,160x600_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Danica-B,(not set),1,1169,0.09
05/22/2018,USM_FY18,160x600_DBM_Elliot,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Elliot-A,(not set),1,1157,0.09
05/22/2018,USM_FY18,160x600_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Kusow-A,(not set),1,1176,0.09
05/22/2018,USM_FY18,DBM_Video_Nate_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,5,5649,0.09
05/23/2018,USM_FY18,160x600_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Danica-B,(not set),1,1091,0.09
05/23/2018,USM_FY18,160x600_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Kusow-A,(not set),1,1081,0.09
05/23/2018,USM_FY18,300x250_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_300x250,Standard,300x250_USM-Refresh_Danica-B,(not set),2,2191,0.09
05/25/2018,USM_FY18,160x600_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Danica-B,(not set),1,1074,0.09
05/28/2018,USM_FY18,728x90_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_728x90,Standard,728x90_USM-Refresh_Kusow-A,(not set),1,1166,0.09
12/13/2017,USM_FY18,DBM_Video_Lauren_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USMFY18_Lauren_30sec,http://usm.maine.edu/welcome,1,1178,0.08
11/13/2017,USM_FY18,300x250_SJ_Veronica,Sunjournal.com,USMFY18_SJ_300x250,Standard,Veronica_300x250,(not set),1,1179,0.08
03/08/2018,USM_FY18,320x50_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Kusow_320x50_A,(not set),1,1181,0.08
12/17/2017,USM_FY18,DBM_Video_Nate_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,1,1182,0.08
04/20/2018,USM_FY18,160x600_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Kusow-B,(not set),1,1185,0.08
04/16/2018,USM_FY18,320x50_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Danica_320x50_B,(not set),1,1186,0.08
02/12/2018,USM_FY18,320x50_DBM_Elliot,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Elliot_320x50_B,(not set),1,1187,0.08
04/17/2018,USM_FY18,160x600_DBM_Elliot,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Elliot-A,(not set),1,1188,0.08
02/09/2018,USM_FY18,320x50_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Kusow_320x50_A,(not set),1,1189,0.08
03/29/2018,USM_FY18_VMEA,970x90_FY18_VMEA,Mainetoday.com - Portland Press Herald,970x90_FY18_VMEA_PPH,Standard,USM-FY18_VMEA_970x90_A,(not set),1,1189,0.08
11/13/2017,USM_FY18,728x90_SJ_Lauren,Sunjournal.com,USMFY18_SJ_728x90,Standard,Lauren_728x90,(not set),1,1190,0.08
09/01/2017,USM_FY18,300x250_Pandora_Kusow,Pandora,USMFY18_Pandora_300x250_Kusow,Standard,Nate_300x250,(not set),1,1192,0.08
01/28/2018,USM_FY18,DBM_Video_Nate_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,1,1192,0.08
03/08/2018,USM_FY18,160x600_DBM_Elliot,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Elliot-A,(not set),1,1192,0.08
03/08/2018,USM_FY18,320x50_DBM_Elliot,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Elliot_320x50_B,(not set),1,1192,0.08
05/19/2018,USM_FY18,320x50_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Danica_320x50_B,(not set),1,1192,0.08
11/29/2017,USM_FY18,DBM_Video_Veronica_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,1193,0.08
03/14/2018,USM_FY18_VMEA,970x90_FY18_VMEA,Mainetoday.com - Portland Press Herald,970x90_FY18_VMEA_PPH,Standard,USM-FY18_VMEA_970x90_A,(not set),1,1193,0.08
08/30/2017,USM_FY18,300x250_Pandora_Kusow,Pandora,USMFY18_Pandora_300x250_Kusow,Standard,Nate_300x250,(not set),1,1194,0.08
01/26/2018,USM_FY18,320x50_MaineToday_Veronica,Mainetoday.com - Portland Press Herald,USMFY18_MaineToday_320x50,Standard,USM-FY18_Veronica_320x50_static,(not set),1,1194,0.08
03/08/2018,USM_FY18,160x600_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Danica-A,(not set),1,1194,0.08
04/06/2018,USM_FY18,USMFY18_Summer_DBM_300x600,doubleclick.com/bidmanager,USMFY18_Summer_DBM_300x600,Standard,USM-FY18_SummerSession_300x600,(not set),1,1194,0.08
04/16/2018,USM_FY18,320x50_DBM_Elliot,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Elliot_320x50_B,(not set),1,1194,0.08
04/16/2018,USM_FY18,320x50_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Kusow_320x50_A,(not set),1,1196,0.08
