Time0Period,Vendor,Medium,Product,Impressions_FY_2018,Clicks_FY_2018,Cost_FY_2018,UPV_FY_2018,Bounces_FY_2018,Sessions_FY_2018,MasterClicks0To0Site_FY_2018,MasterSends_FY_2018,MasterOpens_FY_2018,MasterSwipes_FY_2018,MasterEngagements_FY_2018,MasterResults_FY_2018,MasterCompletions_FY_2018,MasterViews_FY_2018,Impressions_FY_2019,Clicks_FY_2019,Cost_FY_2019,UPV_FY_2019,Bounces_FY_2019,Sessions_FY_2019,MasterClicksTo0Site_FY_2019,MasterSends_FY_2019,MasterOpens_FY_2019,MasterSwipes_FY_2019,MasterEngagements_FY_2019,MasterResults_FY_2019,MasterCompletions_FY_2019,MasterViews_FY_2019
FY_2019,FB,DISP,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772828,7239,7002.5,2341,1989,2171,5020,0,0,0,5681,0,0,0
FY_2019,FB,VID,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273919,3212,2186.44,683,596,657,15090,0,0,0,104212,0,63680,203173
FY_2019,FB,VID,GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377074,2828,2615.4,1218,1049,1187,56355,0,0,0,120689,0,50394,313754
FY_2019,FB,VID,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,123,129,0,0,0,0,0,0,0,0
FY_2019,FB,VID,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99207,846,756.26,383,369,379,651,0,0,0,8658,0,2519,61244
FY_2019,FB,VID,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991010,5480,5708.09,1579,1458,1531,73129,0,0,0,87965,0,22381,749574
FY_2019,FB,CAR,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357927,1414,1657.97,650,558,608,1002,0,0,0,1113,0,0,0
FY_2019,GM,TEXT,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17626,2806,1429.03,147,47,73,43,0,0,0,0,0,0,0
FY_2019,GM,TEXT,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,0,0,0,0,0,0,0,0
FY_2019,HU,VID,UNI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,0,0,0
FY_2019,IG,DISP,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67489,425,584.93,212,199,205,375,0,0,0,401,0,0,0
FY_2019,IG,DISP,GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329190,1399,3302.36,692,666,681,1150,0,0,0,1326,0,0,0
FY_2019,IG,DISP,IC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205154,1194,2031.13,849,823,842,1065,0,0,0,1164,0,0,0
FY_2019,IG,DISP,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79191,324,705.08,217,214,217,278,0,0,0,296,0,0,0
FY_2019,IG,DISP,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006768,1978,5894.89,932,821,870,1278,0,0,0,1976,0,0,0
FY_2019,IG,VID,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45313,429,558.75,120,116,120,2579,0,0,0,4587,0,829,35967
FY_2019,IG,VID,GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135839,762,1505.35,192,174,185,18032,0,0,0,10255,0,1978,111006
FY_2019,IG,VID,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36358,118,321,43,40,41,67,0,0,0,2858,0,399,32732
FY_2019,IG,VID,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005852,1615,5355.46,573,549,563,115224,0,0,0,36804,0,7720,852572
FY_2019,IG,CAR,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466588,981,2493.96,507,437,470,703,0,0,0,929,0,0,0
FY_2019,IG,ST,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4451,19,31.95,27,27,27,12,0,0,0,248,0,87,3929
FY_2019,IG,ST,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,21,0,0,0,0,0,0,0,0
FY_2019,LI,TEXT,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5558,2471,2221.7,221,74,113,1,10545,5305,0,2513,0,0,0
FY_2019,LI,TEXT,GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5408,3138,1904,189,84,111,2,10786,6246,0,3181,0,0,0
FY_2019,PIN,DISP,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384913,1183,1844.32,556,473,503,0,0,0,0,20990,0,0,0
FY_2019,PIN,DISP,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633044,2449,3531.52,1471,1240,1325,0,0,0,0,28126,0,0,0
FY_2019,SC,VID,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111859,1022,500,1068,978,1068,0,0,0,1022,0,0,715,4553
FY_2019,SC,VID,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501719,4278,1259.88,1595,1520,1584,0,0,0,4278,0,0,4437,24855
FY_2019,SPO,AUD,UNI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,1,0,0,0,0,0,0,0,0
FY_2019,TW,DISP,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45791,0,2211.54,307,241,301,0,0,0,0,0,1013,0,0
FY_2019,TW,DISP,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23031,0,912.05,47,31,35,0,0,0,0,31,261,0,0
FY_2019,YT,VID,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39738,24,688.94,16,13,16,0,0,0,0,0,0,80,35230
FY_2019,YT,VID,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119304,179,2032.63,86,72,84,0,0,0,0,0,0,235,104825
FY_2019,YT,VID,UNI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270829,243,4378.51,242,214,233,0,0,0,0,0,0,230,123749
